t_seconds,hashrate
1.0709492999594659,233437.75471860546
2.07329889992252,265277.7175642903
3.084819999989122,259334.41821656402
4.100347999949008,268269.91270342894
5.116922699962743,273601.9443893873
6.1419705000007525,276784.13629628986
7.234155799960718,276466.26023880497
8.242091199965216,272988.97153789026
9.271322599961422,275041.6644989368
10.294761099969037,271982.9991983419
11.302304200013168,269856.47758414136
12.31655079999473,271991.733270116
13.325195099925622,273917.1901520882
14.348403599928133,271807.2413309822
15.424168700003065,272299.9262838175
16.43493819993455,270764.63238649245
17.448230299982242,272233.9124561437
18.456705499906093,273613.2946384009
19.495561699965037,271856.74778529233
20.50272429990582,270695.7338359904
21.544355199905112,271532.84216302587
22.55286369996611,268258.6158674426
23.575960899936035,267221.3457911314
24.635576499975286,267905.2385888603
25.646588400006294,267092.0550196189
26.65951129992027,268196.9642864903
27.66831779992208,267453.9179978929
28.705048199975863,268245.4997586966
29.723752899910323,269145.01768799644
30.73051389993634,268462.8062798875
31.736550899920985,270980.92754690023
32.741037699976005,268775.84274020884
33.84957709989976,270313.56914728176
34.927640500012785,270559.3582823478
35.932081799954176,269953.7436768378
36.942590399994515,269336.8248481427
37.97604669991415,269906.977969436
39.014102799934335,269133.447816149
40.036526699899696,269753.6697164856
41.04018649994396,269248.28911328386
42.04710259998683,268746.22271841246
43.14657659991644,270009.8343381097
44.20829300000332,269180.2644358855
45.211551199899986,268736.63206731284
46.214893399970606,269393.6755896081
47.260997899924405,268720.5214517976
48.27298479992896,269301.7648251809
49.313303699949756,268690.1709246769
50.315335399936885,269301.5934862872
51.33670039998833,269787.49884757196
52.431248000008054,268923.6006741215
53.43954379996285,268527.7414364824
54.44679009995889,269070.04018242506
55.44821609999053,269620.9373632591
56.45104169996921,269259.8673517178
57.485167199978605,268764.9832565113
58.492513999924995,269265.22597439046
59.53153709997423,268765.10803224205
60.53182259993628,268453.83637956256
